ticker,name,sector_id,ksic_code,reason
105560,KB금융,fin,64992,금융지주회사 — KSIC 64992(지주회사)이지만 은행지주라 금융에 남긴다(리더 판정 2026-07-31)
055550,신한지주,fin,64992,금융지주회사 — 동일
086790,하나금융지주,fin,64992,금융지주회사 — 동일
316140,우리금융지주,fin,64992,금융지주회사 — 동일
138040,메리츠금융지주,fin,64992,금융지주회사 — 동일
071050,한국금융지주,fin,64992,금융지주회사 — 동일
175330,JB금융지주,fin,64992,금융지주회사 — 동일
138930,BNK금융지주,fin,64992,금융지주회사 — 동일
139130,iM금융지주,fin,64992,금융지주회사 — 동일
004800,효성,holding,649,지주회사 — 649(기타 금융업)는 창투·스팩이 다수(12/20)라 코드는 fin 유지
001800,오리온홀딩스,holding,649,지주회사 — 동일
012630,HDC,holding,649,지주회사 — 동일
192400,쿠쿠홀딩스,holding,649,지주회사 — 동일
001230,동국홀딩스,holding,649,지주회사 — 동일
034810,해성산업,holding,649,지주회사 — 동일
107590,미원홀딩스,holding,649,지주회사 — 동일
012320,경동인베스트,holding,649,지주회사 — 동일
487570,HS효성,holding,64999,지주회사 — 64999(그 외 기타 금융업)는 핀테크·스팩과 혼재해 코드는 fin 유지
